-2.2,64.4,1021.1,low
1,65.4,1018.7,low
-0.1,56.9,1016.4,low
1.2,50.8,1015.4,low
1.3,45.6,1019.7,low
3.1,65.4,1015.3,low
6.3,95,999.3,low
2.4,86.1,1003.6,low
-1.2,65.3,1013.4,low
-0.6,62.9,1013,low
-0.1,60.9,1009.4,low
-1,61.5,1007.5,low
-2.9,51,1012.4,low
-2.3,45.3,1015,low
-2.7,44.8,1017.6,low
-1.7,43,1016.3,low
-0.6,43.9,1012.6,low
0.3,48.1,1010.9,low
1.9,62.8,1008,low
0.7,46.8,1012.2,low
-0.4,36.9,1018.8,low
3,36,1014.6,low
4.6,49.3,1013.5,low
2.8,63,1019.5,low
4.3,63.1,1018.7,low
5.5,56.3,1016.5,low
5.9,48.1,1010.4,low
6.8,49.4,1007.7,low
6,46.4,1005.3,low
5.2,47,1004.4,low
3.9,59.6,1009,low
2.6,66.6,1013.4,low
1.5,52.3,1014.7,low
-0.4,43.6,1016.3,low
-1.6,50.3,1015.8,low
-8.3,37.3,1021,low
-6.4,36.4,1023,low
-1.7,45.1,1018.5,low
-0.1,48.1,1016.7,low
-0.5,51.1,1014.6,low
4,49.4,1013.4,low
6.8,37,1016.3,low
7.4,73.4,1006.4,low
6.5,84.8,1008.8,low
8.1,70.3,1010.4,low
9.8,63,1007.3,low
-1.4,81.1,1002.6,low
-5.9,64.3,1007.4,low
-4.1,44,1016.7,low
1,56.8,1019.3,low
4.6,62.6,1022.6,low
6.7,66.3,1018.5,low
4,62,1014.2,low
2.5,48.6,1018.2,low
7,51.8,1013.6,low
6.7,73.5,1007.4,low
6.4,59.6,1012.7,low
6.1,54,1017,low
4.5,79.4,1011.9,low
7.7,68.6,1007.7,low
5.8,71.8,1007.9,low
3.4,55.3,1013.1,low
4.8,57,1013.3,low
2.2,53.4,1011.4,low
1.4,47.5,1014.5,low
3.7,46.8,1011.7,low
7,39.5,1007.5,low
9.3,43.8,1008,low
11.1,37.6,1003.6,low
6.4,78.4,997.6,low
3.8,41.8,1007.7,low
6.8,49.8,1010.9,low
4.9,41,1011.3,low
3.6,48.1,1005,low
4,48.3,1001.4,low
3.6,42.4,1011.4,low
6.6,65.8,1005,low
10,45.8,1002.6,low
9.1,49,995.6,low
8.8,39.6,1003.3,low
12.8,56.5,1001.3,low
11,37.5,1004,low
10.6,37.9,1006.7,low
11.4,35,1009.8,low
12.5,33.6,1009.7,low
14.8,53.8,1004.9,low
11.9,56.4,1003.2,low
7.7,17.9,1010.8,low
8.7,30.6,1010.9,low
10.2,38.4,1010.1,low
11.9,34.5,1007,low
11.3,35.6,1004.5,low
9.3,41.4,1011.6,low
10,53.8,1010.5,low
8.9,36.4,1008.6,low
7.2,29.5,1011.8,low
9.3,38.3,1010,low
10.6,56.6,1005.3,low
9.4,25.5,1007.8,low
8.9,44.6,1011.5,low
10.7,52.6,1014,low
9.9,63.8,1009.1,low
9.9,58.6,1004.4,low
12.4,39.4,1003.9,low
13,46.8,1006.3,low
13.2,39.8,1004.6,low
16,39.9,1006.1,low
12.5,77.8,1002.2,low
13.5,67.9,1005.9,low
12.3,75.8,1004.1,low
10,73,1000.6,low
7.4,49,1003.8,low
6,46.8,1005.9,low
7.9,47.8,1005.6,low
9.9,55.6,1003.1,low
13.1,54.4,999.3,low
12.3,43.1,1006.9,low
12.9,49.8,1009.3,low
13.9,50,1009.4,low
14.9,48.6,1009,low
17.1,57.1,1005.7,low
20.2,73.6,1003,low
20.3,79.6,1001.3,low
21.8,68.8,996,mid
20.2,63.9,998.1,low
16,67.9,1001.5,low
19.4,50,1003.7,low
20.7,32.5,1007.1,low
19.9,32.8,1004.4,low
14.2,94.4,994.8,low
14.4,88.6,997,low
16.5,61,997.7,low
14.3,69.4,995.1,low
16.1,47.3,1005.1,low
19.3,35.4,1006,low
16.1,81.4,998.8,low
16.7,90.3,996.6,low
19.1,80.1,995.3,low
19.1,79.4,988.4,low
13,73.6,990.7,low
14.4,60.4,1001.7,low
17.4,56.1,1004.4,low
18.5,68.5,1002.7,low
20.1,66.1,1001.1,low
17.1,84.8,999.6,low
16.6,81,1002.3,low
16.2,81.9,999.4,low
17.4,68.5,999.3,low
18.7,62.8,999.6,low
20.7,65.6,1004.9,low
22.6,57.3,1006.1,mid
21.2,63,1001.4,mid
19.7,64.3,999.7,low
17.9,71,997.4,low
22,73.3,993.9,mid
21.9,81.1,994.1,mid
23,69.4,997.2,mid
24.6,63.6,998.1,mid
22.7,69.4,1001.9,mid
25,63.6,1004.6,mid
26.7,51.6,1004.3,mid
25.8,63.8,998.9,mid
26.1,68.3,993.7,high
24.7,68.6,995.1,mid
26.9,52.8,994.3,high
24,70.6,994.3,mid
23,62.3,996.4,mid
24.4,63,995.7,mid
24.3,58.6,995.3,mid
23.4,61.4,993.1,mid
24.7,61.4,996.4,mid
24.9,62.6,1000,mid
26.1,59.5,998,mid
28.6,50.5,998,high
27.3,53.5,998.3,high
22.3,83.5,993.1,mid
21.6,91,991.8,mid
21.8,82.1,996.5,mid
24.1,70.4,995.5,mid
25.2,70.5,994.8,mid
23.8,77,991.8,mid
20.1,83,984.3,low
21.1,79.3,995,mid
24.2,74.5,1000.9,mid
25.5,63.5,1000.5,mid
24.2,63.9,997,mid
23.8,68.6,994.5,mid
25.6,66.6,991.2,mid
24.1,75.5,994.3,mid
25.5,71.9,994.8,high
27.5,64.6,994,high
24.5,75,992.6,mid
25.8,62.6,997.5,mid
23.5,71.9,999.3,mid
18.7,94.8,993,low
20.3,79.4,993.9,low
23.4,63.1,995.5,mid
25,70.9,997,mid
26,72,998.3,high
26.1,71.6,998.4,high
24,81.6,994.9,mid
23.8,86.3,995.9,mid
25,77,1001.8,high
23.7,89.3,999.9,mid
